company_number,company_name,postcode,address,sic,account_category,incorporation_date,group
NI632546,IRISH SOUP PRODUCTIONS LIMITED,BT37 9PD,5 ABBEY CRESCENT / NEWTOWNABBEY,59111 - Motion picture production activities,MICRO ENTITY,21/07/2015,small
06511892,CIRCUIT SPECIALISTS EUROPE LIMITED,WA15 8HB,9 ROYCE AVENUE / ALTRINCHAM,46520 - Wholesale of electronic and telecommunications equipment and parts,MICRO ENTITY,21/02/2008,small
12789720,AFFIRMIT SERVICING UK LTD,SW4 9LG,114 NARBONNE AVENUE / LONDON,63120 - Web portals,MICRO ENTITY,04/08/2020,small
11754893,CORE HEAT LTD,E4 6AG,147 STATION ROAD / NORTH CHINGFORD / LONDON,"43220 - Plumbing, heat and air-conditioning installation",MICRO ENTITY,08/01/2019,small
13584227,CRYSTAL LAKE TATTOOS LIMITED,PR25 3ED,134-136 BALCARRES ROAD / LEYLAND,90030 - Artistic creation,MICRO ENTITY,25/08/2021,small
10828891,LUCARI DESIGN LIMITED,CT1 2AN,32-33 WATLING STREET / CANTERBURY,32990 - Other manufacturing n.e.c.,MICRO ENTITY,21/06/2017,small
15078366,PLATINUM DIMZI MEDICARE LIMITED,L15 0EB,"FLAT 5, / 315 SMITHDOWN ROAD / LIVERPOOL",86210 - General medical practice activities,MICRO ENTITY,17/08/2023,small
13156405,PREMIER SIPS UK LTD,WS13 7FE,4 PARKSIDE COURT / GREENHOUGH ROAD / LICHFIELD,32990 - Other manufacturing n.e.c.,MICRO ENTITY,25/01/2021,small
14306983,EXIEVO LTD,N1 7GU,20-22 WENLOCK ROAD / LONDON,74100 - specialised design activities,MICRO ENTITY,19/08/2022,small
05877101,ARGYLE (UK) LIMITED,CV5 6HW,ARGYLE HOUSE / COLLINGWOOD ROAD / COVENTRY,82200 - Activities of call centres,MICRO ENTITY,14/07/2006,small
13000411,INSIGHTS FOR SALES LTD,EC1V 2NX,128 CITY ROAD / LONDON,62020 - Information technology consultancy activities,MICRO ENTITY,05/11/2020,small
15150895,COPPER KENNELS LIMITED,SK9 4BA,45 LACEY GREEN / WILMSLOW,"47760 - Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores",MICRO ENTITY,20/09/2023,small
15412914,ORE CONSULTING LIMITED,SN10 1DU,7-7C SNUFF STREET / DEVIZES,70229 - Management consultancy activities other than financial management,MICRO ENTITY,15/01/2024,small
